[Tue Aug 04 00:00:19.258183 2020] [mpm_prefork:notice] [pid 646] AH00163: Apache/2.4.38 (Raspbian) configured -- resuming normal operations
[Tue Aug 04 00:00:19.278884 2020] [core:notice] [pid 646] AH00094: Command line: '/usr/sbin/apache2'
[Tue Aug 04 01:11:47.967825 2020] [php7:notice] [pid 17275] [client 192.168.2.155:56086] PHP Notice:  Undefined index: query in /var/www/html/php/SearchDb.php on line 6, referer: http://yourflix.tv/
[Tue Aug 04 01:11:47.968303 2020] [php7:warn] [pid 17275] [client 192.168.2.155:56086] PHP Warning:  strpos() expects parameter 1 to be string, array given in /var/www/html/php/SearchDb.php on line 10, referer: http://yourflix.tv/
[Tue Aug 04 01:11:47.968411 2020] [php7:warn] [pid 17275] [client 192.168.2.155:56086] PHP Warning:  strpos() expects parameter 1 to be string, array given in /var/www/html/php/SearchDb.php on line 10, referer: http://yourflix.tv/
[Tue Aug 04 01:11:47.968499 2020] [php7:warn] [pid 17275] [client 192.168.2.155:56086] PHP Warning:  strpos() expects parameter 1 to be string, array given in /var/www/html/php/SearchDb.php on line 10, referer: http://yourflix.tv/
[Tue Aug 04 01:11:47.968585 2020] [php7:warn] [pid 17275] [client 192.168.2.155:56086] PHP Warning:  strpos() expects parameter 1 to be string, array given in /var/www/html/php/SearchDb.php on line 10, referer: http://yourflix.tv/
[Tue Aug 04 01:11:47.968668 2020] [php7:warn] [pid 17275] [client 192.168.2.155:56086] PHP Warning:  strpos() expects parameter 1 to be string, array given in /var/www/html/php/SearchDb.php on line 10, referer: http://yourflix.tv/
[Tue Aug 04 01:11:47.968752 2020] [php7:warn] [pid 17275] [client 192.168.2.155:56086] PHP Warning:  strpos() expects parameter 1 to be string, array given in /var/www/html/php/SearchDb.php on line 10, referer: http://yourflix.tv/
[Tue Aug 04 01:11:47.968836 2020] [php7:warn] [pid 17275] [client 192.168.2.155:56086] PHP Warning:  strpos() expects parameter 1 to be string, array given in /var/www/html/php/SearchDb.php on line 10, referer: http://yourflix.tv/
[Tue Aug 04 01:11:47.968918 2020] [php7:warn] [pid 17275] [client 192.168.2.155:56086] PHP Warning:  strpos() expects parameter 1 to be string, array given in /var/www/html/php/SearchDb.php on line 10, referer: http://yourflix.tv/
[Tue Aug 04 01:11:47.969003 2020] [php7:warn] [pid 17275] [client 192.168.2.155:56086] PHP Warning:  strpos() expects parameter 1 to be string, array given in /var/www/html/php/SearchDb.php on line 10, referer: http://yourflix.tv/
[Tue Aug 04 01:11:47.969087 2020] [php7:warn] [pid 17275] [client 192.168.2.155:56086] PHP Warning:  strpos() expects parameter 1 to be string, array given in /var/www/html/php/SearchDb.php on line 10, referer: http://yourflix.tv/
[Tue Aug 04 01:11:47.969169 2020] [php7:warn] [pid 17275] [client 192.168.2.155:56086] PHP Warning:  strpos() expects parameter 1 to be string, array given in /var/www/html/php/SearchDb.php on line 10, referer: http://yourflix.tv/
[Tue Aug 04 01:11:47.969254 2020] [php7:warn] [pid 17275] [client 192.168.2.155:56086] PHP Warning:  strpos() expects parameter 1 to be string, array given in /var/www/html/php/SearchDb.php on line 10, referer: http://yourflix.tv/
[Tue Aug 04 01:11:47.969338 2020] [php7:warn] [pid 17275] [client 192.168.2.155:56086] PHP Warning:  strpos() expects parameter 1 to be string, array given in /var/www/html/php/SearchDb.php on line 10, referer: http://yourflix.tv/
[Tue Aug 04 01:11:47.969421 2020] [php7:warn] [pid 17275] [client 192.168.2.155:56086] PHP Warning:  strpos() expects parameter 1 to be string, array given in /var/www/html/php/SearchDb.php on line 10, referer: http://yourflix.tv/
[Tue Aug 04 01:11:47.969506 2020] [php7:warn] [pid 17275] [client 192.168.2.155:56086] PHP Warning:  strpos() expects parameter 1 to be string, array given in /var/www/html/php/SearchDb.php on line 10, referer: http://yourflix.tv/
[Tue Aug 04 01:11:47.969590 2020] [php7:warn] [pid 17275] [client 192.168.2.155:56086] PHP Warning:  strpos() expects parameter 1 to be string, array given in /var/www/html/php/SearchDb.php on line 10, referer: http://yourflix.tv/
[Tue Aug 04 01:11:47.969728 2020] [php7:warn] [pid 17275] [client 192.168.2.155:56086] PHP Warning:  strpos() expects parameter 1 to be string, array given in /var/www/html/php/SearchDb.php on line 10, referer: http://yourflix.tv/
[Tue Aug 04 01:11:47.969808 2020] [php7:warn] [pid 17275] [client 192.168.2.155:56086] PHP Warning:  strpos() expects parameter 1 to be string, array given in /var/www/html/php/SearchDb.php on line 10, referer: http://yourflix.tv/
[Tue Aug 04 01:11:47.969885 2020] [php7:warn] [pid 17275] [client 192.168.2.155:56086] PHP Warning:  strpos() expects parameter 1 to be string, array given in /var/www/html/php/SearchDb.php on line 10, referer: http://yourflix.tv/
[Tue Aug 04 01:11:47.969964 2020] [php7:warn] [pid 17275] [client 192.168.2.155:56086] PHP Warning:  strpos() expects parameter 1 to be string, array given in /var/www/html/php/SearchDb.php on line 10, referer: http://yourflix.tv/
[Tue Aug 04 01:11:47.970043 2020] [php7:warn] [pid 17275] [client 192.168.2.155:56086] PHP Warning:  strpos() expects parameter 1 to be string, array given in /var/www/html/php/SearchDb.php on line 10, referer: http://yourflix.tv/
